"","HTO","method","Fscore"
"116","BAL 13","BFF_cluster",0.0219022821258998
"117","BAL 13","demuxmix",0.787610619469027
"118","BAL 14","hashedDrops",0.715207373271889
"119","BAL 14","hashedDrops_default",0.186405045550105
"120","BAL 14","HashSolo",0.503919372900336
"121","BAL 14","HTODemux",0.710144927536232
"122","BAL 14","GMM_Demux",0.65093085106383
"123","BAL 14","deMULTIplex",0.717222476016446
"124","BAL 14","BFF_raw",0
"125","BAL 14","BFF_cluster",0.012097433382377
"126","BAL 14","demuxmix",0.770593445527015
"127","BAL 15","hashedDrops",0.890895021924168
"128","BAL 15","hashedDrops_default",0.710134128166915
"129","BAL 15","HashSolo",0.844474961989308
"130","BAL 15","HTODemux",0.658291782684712
"131","BAL 15","GMM_Demux",0.777726056092168
"132","BAL 15","deMULTIplex",0.819893988947784
"133","BAL 15","BFF_raw",0.784703676345247
"134","BAL 15","BFF_cluster",0
"135","BAL 15","demuxmix",0.813816728518413
"136","BAL 16","hashedDrops",0.887374894489328
"137","BAL 16","hashedDrops_default",0.895960048658685
"138","BAL 16","HashSolo",0.863892850499163
"139","BAL 16","HTODemux",0.88447221483648
"140","BAL 16","GMM_Demux",0.847140039447732
"141","BAL 16","deMULTIplex",0.888289624485944
"142","BAL 16","BFF_raw",0.891521752977897
"143","BAL 16","BFF_cluster",0
"144","BAL 16","demuxmix",0.883374350560569
"145","BAL 17","hashedDrops",0.792459356624006
"146","BAL 17","hashedDrops_default",0.509170946441673
"147","BAL 17","HashSolo",0.764362403465813
"148","BAL 17","HTODemux",0.795303189624956
"149","BAL 17","GMM_Demux",0.745828482731859
"150","BAL 17","deMULTIplex",0.785282432198998
"151","BAL 17","BFF_raw",0
"152","BAL 17","BFF_cluster",0.365537432036805
"153","BAL 17","demuxmix",0.803238561476182
"154","BAL 18","hashedDrops",0.811196487376509
"155","BAL 18","hashedDrops_default",0.7688127090301
"156","BAL 18","HashSolo",0.817877534947824
"157","BAL 18","HTODemux",0.812213131111555
"158","BAL 18","GMM_Demux",0.756709578878464
"159","BAL 18","deMULTIplex",0.751304347826087
"160","BAL 18","BFF_raw",0.727382388419783
"161","BAL 18","BFF_cluster",0.276692468362207
"162","BAL 18","demuxmix",0.815800591465991
"163","BAL 19","hashedDrops",0.783353282386521
"164","BAL 19","hashedDrops_default",0.401287001287001
"165","BAL 19","HashSolo",0.70894472361809
"166","BAL 19","HTODemux",0.774092211032061
"167","BAL 19","GMM_Demux",0.72913587545571
"168","BAL 19","deMULTIplex",0.529492770254762
"169","BAL 19","BFF_raw",0.671046367704465
"170","BAL 19","BFF_cluster",0.338899534629072
"171","BAL 19","demuxmix",0.789563244469654
"172","BAL 20","hashedDrops",0.841282442748092
"173","BAL 20","hashedDrops_default",0.794919327154137
"174","BAL 20","HashSolo",0.822989645979292
"175","BAL 20","HTODemux",0.805355743892885
"176","BAL 20","GMM_Demux",0.802848306120981
"177","BAL 20","deMULTIplex",0.787730414746544
"178","BAL 20","BFF_raw",0.778175313059034
"179","BAL 20","BFF_cluster",0.454709539407714
"180","BAL 20","demuxmix",0.834543642318098
"181","BAL 21","hashedDrops",0.697050188732
"182","BAL 21","hashedDrops_default",0.293171114599686
"183","BAL 21","HashSolo",0.588309042469832
"184","BAL 21","HTODemux",0.674831081081081
"185","BAL 21","GMM_Demux",0.616711856051269
"186","BAL 21","deMULTIplex",0.416250890947969
"187","BAL 21","BFF_raw",0
"188","BAL 21","BFF_cluster",0.0146351662136734
"189","BAL 21","demuxmix",0.692574400462294
"190","BAL 22","hashedDrops",0.70510424155284
"191","BAL 22","hashedDrops_default",0.371185786017767
"192","BAL 22","HashSolo",0.6180312201338
"193","BAL 22","HTODemux",0.63130300693909
"194","BAL 22","GMM_Demux",0.598932211616243
"195","BAL 22","deMULTIplex",0.46112600536193
"196","BAL 22","BFF_raw",0.347926711668274
"197","BAL 22","BFF_cluster",0.00675929402929027
"198","BAL 22","demuxmix",0.683001531393568
"199","BAL 23","hashedDrops",0.810874597195116
"200","BAL 23","hashedDrops_default",0.626503340757238
"201","BAL 23","HashSolo",0.772586872586873
"202","BAL 23","HTODemux",0.650635558245749
"203","BAL 23","GMM_Demux",0.710899492806128
"204","BAL 23","deMULTIplex",0.505084745762712
"205","BAL 23","BFF_raw",0.415009621552277
"206","BAL 23","BFF_cluster",0.0451103933922804
"207","BAL 23","demuxmix",0.75358340957609
"208","BAL 24","hashedDrops",0.838899209400786
"209","BAL 24","hashedDrops_default",0.818216211103755
"210","BAL 24","HashSolo",0.805876541088535
"211","BAL 24","HTODemux",0.797469005607284
"212","BAL 24","GMM_Demux",0.800390484509068
"213","BAL 24","deMULTIplex",0.758635417222786
"214","BAL 24","BFF_raw",0.788858040143826
"215","BAL 24","BFF_cluster",0
"216","BAL 24","demuxmix",0.82829417773238
"217","OT 01","hashedDrops",0.387820512820513
"218","OT 01","hashedDrops_default",0.350877192982456
"219","OT 01","HashSolo",0.377358490566038
"220","OT 01","HTODemux",0.341463414634146
"221","OT 01","GMM_Demux",0.352941176470588
"222","OT 01","deMULTIplex",0.356
"223","OT 01","BFF_raw",0
"224","OT 01","BFF_cluster",0
"225","OT 01","demuxmix",0.306695464362851
"226","OT 02","hashedDrops",0.814829740076567
"227","OT 02","hashedDrops_default",0.638785227126496
"228","OT 02","HashSolo",0.755405405405405
"229","OT 02","HTODemux",0.692621431219874
"230","OT 02","GMM_Demux",0.766100906765868
"231","OT 02","deMULTIplex",0.324254215304799
"232","OT 02","BFF_raw",0
"233","OT 02","BFF_cluster",0
"234","OT 02","demuxmix",0.620939597315436
"235","OT 03","hashedDrops",0.779067221370703
"236","OT 03","hashedDrops_default",0.361708762082944
"237","OT 03","HashSolo",0.628250892401836
"238","OT 03","HTODemux",0.784475281873374
"239","OT 03","GMM_Demux",0.750626281029378
"240","OT 03","deMULTIplex",0.0895522388059701
"241","OT 03","BFF_raw",0
"242","OT 03","BFF_cluster",0
"243","OT 03","demuxmix",0.567391304347826
"244","OT 04","hashedDrops",0.735005083022704
"245","OT 04","hashedDrops_default",0.270776818742293
"246","OT 04","HashSolo",0.66204632500456
"247","OT 04","HTODemux",0.661069538236905
"248","OT 04","GMM_Demux",0.708703374777975
"249","OT 04","deMULTIplex",0.100651890482399
"250","OT 04","BFF_raw",0
"251","OT 04","BFF_cluster",0
"252","OT 04","demuxmix",0.549075975359343
"253","OT 05","hashedDrops",0.783273381294964
"254","OT 05","hashedDrops_default",0.316005471956224
"255","OT 05","HashSolo",0.463980463980464
"256","OT 05","HTODemux",0.818487394957983
"257","OT 05","GMM_Demux",0.751043115438109
"258","OT 05","deMULTIplex",0.788893785808726
"259","OT 05","BFF_raw",0.82014987510408
"260","OT 05","BFF_cluster",0.703728362183755
"261","OT 05","demuxmix",0.449131513647643
"262","OT 06","hashedDrops",0.834627329192547
"263","OT 06","hashedDrops_default",0.490438695163105
"264","OT 06","HashSolo",0.634122287968442
"265","OT 06","HTODemux",0.839689004072566
"266","OT 06","GMM_Demux",0.789193614408514
"267","OT 06","deMULTIplex",0.806349206349206
"268","OT 06","BFF_raw",0.855061908230153
"269","OT 06","BFF_cluster",0.705185185185185
"270","OT 06","demuxmix",0.461538461538462
"271","OT 07","hashedDrops",0.807523009203681
"272","OT 07","hashedDrops_default",0.377614471452798
"273","OT 07","HashSolo",0.872426089957437
"274","OT 07","HTODemux",0.133594429939077
"275","OT 07","GMM_Demux",0.23582395087001
"276","OT 07","deMULTIplex",0.34221707222866
"277","OT 07","BFF_raw",0
"278","OT 07","BFF_cluster",0.222159010098137
"279","OT 07","demuxmix",0.452646741087505
"280","OT 08","hashedDrops",0.825787401574803
"281","OT 08","hashedDrops_default",0.67375415282392
"282","OT 08","HashSolo",0.780353200883002
"283","OT 08","HTODemux",0.823028785982478
"284","OT 08","GMM_Demux",0.75374531835206
"285","OT 08","deMULTIplex",0.799898682877406
"286","OT 08","BFF_raw",0.818655420491193
"287","OT 08","BFF_cluster",0
"288","OT 08","demuxmix",0.660818713450292
"289","CL 01","hashedDrops",0.827442661009486
"290","CL 01","hashedDrops_default",0.357197572329268
"291","CL 01","HashSolo",0.775320443189224
"292","CL 01","HTODemux",0.70410835214447
"293","CL 01","GMM_Demux",0.81471803085223
"294","CL 01","deMULTIplex",0.813949579831933
"295","CL 01","BFF_raw",0.794587945879459
"296","CL 01","BFF_cluster",0.864764090061666
"297","CL 01","demuxmix",0.70708294501398
"298","CL 02","hashedDrops",0.898057481606944
"299","CL 02","hashedDrops_default",0.876106970626918
"300","CL 02","HashSolo",0.879612756264237
"301","CL 02","HTODemux",0.878417032821208
"302","CL 02","GMM_Demux",0.873924543215882
"303","CL 02","deMULTIplex",0.892241891410241
"304","CL 02","BFF_raw",0.903947368421053
"305","CL 02","BFF_cluster",0.906683480453972
"306","CL 02","demuxmix",0.841640852342063
"307","CL 03","hashedDrops",0.866518847006652
"308","CL 03","hashedDrops_default",0.756356069965537
"309","CL 03","HashSolo",0.762857421684395
"310","CL 03","HTODemux",0.629917916784602
"311","CL 03","GMM_Demux",0.779633143580013
"312","CL 03","deMULTIplex",0.777015327390496
"313","CL 03","BFF_raw",0.675005240723919
"314","CL 03","BFF_cluster",0.851461590754589
"315","CL 03","demuxmix",0.680423948901523
